BBLCOUNT        1.0         0
0x7fff8573d648 1 2 4
0x7fff8176e7ca 1 9 18
0x7fff8176e7ae 0 9 28
0x7fff8176e7a2 1 3 12
0x7fff8176e78f 0 5 16
0x7fff8573ad5f 76 3 14
0x7fff8573ad51 76 3 14
0x7fff8573ad34 320 6 29
0x7fff8573ad20 40 2 9
0x7fff8573acbb 40 30 101
0x7fff8573ac94 360 15 39
0x7fff8573b3aa 360 6 25
0x7fff8573b317 35 5 28
0x7fff8573b2e3 395 13 52
0x7fff8573b2b4 395 11 47
0x7fff8573b283 398 14 49
0x7fff857302bf 186 5 12
0x7fff8573d85e 186 3 10
0x7fff8573d853 186 3 11
0x7fff8573d84e 0 1 5
0x7fff8573d83b 0 5 19
0x7fff8573d821 26 11 26
0x7fff8573d3da 1 5 19
0x7fff8572fe67 1 10 21
0x7fff8572fe4f 3 5 24
0x7fff8572fe4d 1 6 26
0x7fff8572fe1e 1 7 47
0x7fff8572fe19 1 2 5
0x7fff8572fe09 0 4 9
0x7fff8572fde3 1 7 38
0x7fff8572fdda 1 2 9
0x7fff8572fd92 1 17 72
0x7fff8572fd87 1 3 11
0x7fff8572fd6f 3 5 24
0x7fff8572fd92 0 17 72
0x7fff8572fd87 0 3 11
0x7fff8572fd6d 1 6 26
0x7fff8572fd3c 1 8 49
0x7fff8572fd2c 1 3 16
0x7fff8176e783 1 3 12
0x7fff8176b942 1 1 1
0x7fff8176b938 1 3 10
0x7fff8176e765 1 13 30
0x7fff857453e8 1 1 6
0x7fff8573d611 1 13 55
0x7fff8573d605 1 3 12
0x7fff8573d5ea 0 5 22
0x7fff8573d5e0 0 3 10
0x7fff8573d5bc 1 14 36
0x7fff8573d41d 1 2 8
0x7fff8573d3f5 0 2 8
0x7fff8573d3ed 1 3 8
0x7fff8573f504 1 8 16
0x7fff8573f31c 0 11 47
0x7fff8573f308 0 3 20
0x7fff8573f2e4 1 12 36
0x7fff87f67025 420 4 15
0x7fff8b0566a3 1 2 9
0x7fff8b05669a 1 3 9
0x7fff8b056682 1 6 24
0x7fff8323bbdc 1 1 6
0x7fff8323ba99 1 1 5
0x7fff8b122e48 1 4 6
0x7fff8323bbe2 1 1 6
0x7fff8323ba94 1 1 5
0x7fff8573cbac 1 8 15
0x7fff8573cb9c 1 4 16
0x7fff8573cb64 0 1 5
0x7fff8573cb5e 1 2 6
0x7fff8574549c 213 1 6
0x7fff8573cb53 1 3 11
0x7fff857455aa 2 1 6
0x7fff8573cb14 1 5 14
0x7fff87f6c82c 1 4 13
0x7fff87f6c839 1 2 4
0x7fff87f6c83d 1 1 2
0x7fff87f6c847 1 6 16
0x7fff8b0568de 1 5 18
0x7fff8b0568cb 1 3 19
0x7fff8b0568bf 5 3 12
0x7fff8b0568a4 1 11 27
0x7fff8b0570af 1 5 23
0x7fff8e6003ee 1 7 13
0x7fff8e6003d3 1 7 27
0x7fff8e6003c8 1 3 11
0x7fff8e6003ab 1 6 29
0x7fff8e60038f 1 10 28
0x7fff8b05765a 1 1 6
0x7fff8b057098 1 5 23
0x7fff8b0566ac 1 1 5
0x7fff8d992870 3 4 9
0x7fff8d9928f1 1 8 29
0x7fff8d9247a7 1 8 18
0x7fff88902b18 1 2 13
0x7fff88902b12 20221 2 6
0x7fff88902b00 20221 7 18
0x7fff8d924798 1 4 15
0x7fff8d924793 1 2 5
0x7fff8d9928e3 3 4 14
